subplotmaincode,Species,comment,pinpoint,number_of_obs,Year,Site_Treatment,Replicate,Subplot,Subplot2
G_01_CP_000 LL,aaa +++ En attente de détermination,GRAM SP1,18,1,2017,G_CP,1,0,LL
G_01_CP_000 LL,aaa +++ En attente de détermination,GRAM SP1,14,1,2017,G_CP,1,0,LL
G_01_CP_000 LL,Alopecurus gerardi,,7,1,2017,G_CP,1,0,LL
G_01_CP_000 LL,Alopecurus gerardi,,6,1,2017,G_CP,1,0,LL
G_01_CP_000 LL,Alopecurus gerardi,,9,1,2017,G_CP,1,0,LL
G_01_CP_000 LL,Alopecurus gerardi,,8,2,2017,G_CP,1,0,LL
G_01_CP_000 LL,Alopecurus gerardi,,17,1,2017,G_CP,1,0,LL
G_01_CP_000 LL,Alopecurus gerardi,,15,1,2017,G_CP,1,0,LL
G_01_CP_000 LL,Alopecurus gerardi,,11,1,2017,G_CP,1,0,LL
G_01_CP_000 LL,Alopecurus gerardi,,3,1,2017,G_CP,1,0,LL
G_01_CP_000 LL,Alopecurus gerardi,,13,1,2017,G_CP,1,0,LL
G_01_CP_000 LL,Alopecurus gerardi,,4,2,2017,G_CP,1,0,LL
G_01_CP_000 LL,Festuca halleri,,16,1,2017,G_CP,1,0,LL
G_01_CP_000 LL,Festuca halleri,,14,1,2017,G_CP,1,0,LL
G_01_CP_000 LL,Festuca nigrescens,,21,1,2017,G_CP,1,0,LL
G_01_CP_000 LL,Leontodon hispidus,,3,1,2017,G_CP,1,0,LL
G_01_CP_000 LL,Plantago maritima subsp. serpentina,,19,1,2017,G_CP,1,0,LL
G_01_CP_000 LL,Plantago maritima subsp. serpentina,,14,1,2017,G_CP,1,0,LL
G_01_CP_000 LL,Plantago maritima subsp. serpentina,,5,1,2017,G_CP,1,0,LL
G_01_CP_000 LL,Plantago maritima subsp. serpentina,,15,2,2017,G_CP,1,0,LL
G_01_CP_000 LL,Plantago maritima subsp. serpentina,,23,2,2017,G_CP,1,0,LL
G_01_CP_000 LL,Plantago maritima subsp. serpentina,,16,2,2017,G_CP,1,0,LL
G_01_CP_000 LL,Plantago maritima subsp. serpentina,,21,1,2017,G_CP,1,0,LL
G_01_CP_000 LL,Poa alpina,,1,1,2017,G_CP,1,0,LL
G_01_CP_000 LL,Poa alpina,,14,1,2017,G_CP,1,0,LL
G_01_CP_000 LL,Poa alpina,,8,1,2017,G_CP,1,0,LL
G_01_CP_000 LL,Poa alpina,,4,1,2017,G_CP,1,0,LL
G_01_CP_000 LL,Poa alpina,,2,1,2017,G_CP,1,0,LL
G_01_CP_000 LL,Potentilla aurea,,19,2,2017,G_CP,1,0,LL
G_01_CP_000 LL,Potentilla aurea,,1,2,2017,G_CP,1,0,LL
G_01_CP_000 LL,Potentilla aurea,,5,1,2017,G_CP,1,0,LL
G_01_CP_000 LL,Potentilla aurea,,8,1,2017,G_CP,1,0,LL
